Subzone,0_to_24,25_to_64,65_and_over,total_population,nursinghome_count,Name,latitude,longitude,within_coverage
PORT,0,40,10,50,0.0,QUEENSTOWN,1.2766242617155679,103.77559727096303,0.0
QUEENSWAY,30,210,50,290,0.0,QUEENSTOWN,1.2885257567809127,103.79888928207272,1.0
SINGAPORE POLYTECHNIC,20,80,0,100,0.0,QUEENSTOWN,1.3113489736000985,103.77717500660536,0.0
TANGLIN HALT,2150,6500,2730,11380,1.0,QUEENSTOWN,1.301264687143575,103.79670681498371,1.0
INSTITUTION HILL,940,2100,380,3420,0.0,RIVER VALLEY,1.2940158540864874,103.83750039702689,0.0
LEONIE HILL,750,1950,310,3010,0.0,RIVER VALLEY,1.2979398059925955,103.83406382917086,0.0
ONE TREE HILL,520,1220,340,2080,0.0,RIVER VALLEY,1.3017262735654591,103.82716856636705,0.0
OXLEY,310,860,280,1450,0.0,RIVER VALLEY,1.2971128789806463,103.84052809637808,0.0
PATERSON,70,150,0,220,0.0,RIVER VALLEY,1.3012521808760742,103.83160520668272,0.0
BENCOOLEN,200,730,270,1200,0.0,ROCHOR,1.3020047358944684,103.8512810704054,0.0
FARRER PARK,530,1620,510,2660,0.0,ROCHOR,1.309163831778842,103.85212892477907,0.0
KAMPONG GLAM,0,50,40,90,0.0,ROCHOR,1.3022628965413587,103.85969079908286,0.0
LITTLE INDIA,600,1910,810,3320,0.0,ROCHOR,1.3067833487030984,103.8540526520474,0.0
MACKENZIE,20,70,0,90,0.0,ROCHOR,1.3062401869856644,103.84841433592482,0.0
MOUNT EMILY,320,1060,90,1470,0.0,ROCHOR,1.3024107020833635,103.84754485591557,0.0
ROCHOR CANAL,0,0,0,0,0.0,ROCHOR,1.3040353221908798,103.85752346978724,0.0
SELEGIE,40,130,30,200,0.0,ROCHOR,1.3021531524116563,103.84964812452296,0.0
SUNGEI ROAD,460,1030,520,2010,0.0,ROCHOR,1.3056991006616452,103.85669288235373,0.0
VICTORIA,250,1090,480,1820,0.0,ROCHOR,1.2996636049137469,103.85298961442508,0.0
PULAU PUNGGOL BARAT,0,0,0,0,0.0,SELETAR,1.4251691925810754,103.8786983161105,0.0
PULAU PUNGGOL TIMOR,0,0,0,0,0.0,SELETAR,1.4190406123537438,103.89108750102713,0.0
SELETAR,90,150,20,260,0.0,SELETAR,1.4089950861135951,103.88158652313228,0.0
SELETAR AEROSPACE PARK,0,0,0,0,0.0,SELETAR,1.4123579770861503,103.86648297640131,0.0
ADMIRALTY,4370,8380,1360,14110,0.0,SEMBAWANG,1.4533881799376818,103.82515275778576,0.0
SEMBAWANG CENTRAL,10210,21030,2930,34170,1.0,SEMBAWANG,1.4463728103785385,103.81776141532282,1.0
SEMBAWANG EAST,3600,7480,620,11700,0.0,SEMBAWANG,1.4475010714920935,103.8314219956082,0.0
SEMBAWANG NORTH,8000,15470,2360,25830,0.0,SEMBAWANG,1.4569974876081786,103.81569523496815,0.0
SEMBAWANG SPRINGS,2620,5040,860,8520,1.0,SEMBAWANG,1.4409557843985898,103.82502283187786,1.0
SEMBAWANG STRAITS,550,990,200,1740,0.0,SEMBAWANG,1.4586739664277253,103.83648595613676,0.0
SENOKO NORTH,0,0,0,0,0.0,SEMBAWANG,1.4637772751805096,103.8033571300236,0.0
SENOKO SOUTH,0,0,0,0,0.0,SEMBAWANG,1.453498669234925,103.80753457374294,1.0
THE WHARVES,0,0,0,0,0.0,SEMBAWANG,1.4644122754398603,103.82383888742649,0.0
ANCHORVALE,15250,27740,3620,46610,0.0,SENGKANG,1.3944367092429155,103.8891970609754,0.0
COMPASSVALE,6660,12830,1750,21240,0.0,SENGKANG,1.384902660792915,103.88996705192892,1.0
FERNVALE,18260,32370,4570,55200,1.0,SENGKANG,1.3951699873590129,103.87650694338508,1.0
LORONG HALUS NORTH,0,0,0,0,0.0,SENGKANG,1.3816782386299742,103.91076865126087,0.0
RIVERVALE,17800,35970,6430,60200,0.0,SENGKANG,1.3876127334388326,103.90500354257358,1.0
SENGKANG TOWN CENTRE,18360,37420,5880,61660,1.0,SENGKANG,1.3915952140840586,103.89769104196863,1.0
SENGKANG WEST,0,0,0,0,0.0,SENGKANG,1.3955347458490923,103.86315092292492,0.0
LORONG CHUAN,2360,4840,1240,8440,0.0,SERANGOON,1.3484712097232543,103.86322060512444,0.0
SELETAR HILLS,3770,7910,2560,14240,0.0,SERANGOON,1.3834751925602538,103.86635886088013,0.0
SERANGOON CENTRAL,5040,15070,4830,24940,0.0,SERANGOON,1.3522330389033614,103.87067524150179,1.0
SERANGOON GARDEN,8100,20600,7780,36480,1.0,SERANGOON,1.3627383489858147,103.86666283217144,1.0
SERANGOON NORTH,4360,9690,2100,16150,0.0,SERANGOON,1.3743811719520964,103.87338413439699,0.0
